c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
milk,shake,milkshake,2,10.5,-0.17075538899999998,-0.19607315600000003,0.3871866762638092,0.13989946246147156,0.3497450053691864,1
hand,shake,handshake,2,11.0,-0.135056851,0.061003165,0.2789927124977112,0.3081182837486267,0.37937214970588684,1
head,shake,headshake,2,11.0,-0.135056851,0.061003165,0.17844140529632568,0.23510931432247162,0.26208481192588806,1
bone,shaker,boneshaker,1,13.4,1.573218026,1.990441865,0.10191433131694794,0.27500563859939575,0.2491660863161087,1
salt,shaker,saltshaker,1,12.2,-0.011308278,0.246067977,0.3867538869380951,0.4131321907043457,0.5019800662994385,1
salt,shakers,saltshakers,1,12.2,-0.011308278,0.246067977,0.4011571705341339,0.1732359230518341,0.3898797929286957,1
hand,shaking,handshaking,1,11.0,-0.135056851,0.061003165,0.1410088986158371,0.15027055144309998,0.1882719248533249,1
head,shaking,headshaking,1,11.0,-0.135056851,0.061003165,0.04025794193148613,0.24615876376628876,0.20075610280036926,1
cow,shed,cowshed,1,10.0,-0.310351733,-0.312624323,0.3827034533023834,0.20358994603157043,0.38313406705856323,1
wood,shed,woodshed,1,11.0,-0.135056851,0.061003165,0.17914441227912903,0.10195419192314148,0.18917228281497955,1
tool,shed,toolshed,1,11.3,-0.164960138,-0.113493392,0.21591204404830933,0.20656998455524445,0.2869739234447479,1
blood,shed,bloodshed,1,11.0,-0.135056851,0.061003165,0.204705148935318,0.01821856014430523,0.15488339960575104,1
water,sheds,watersheds,1,12.5,0.359919785,0.43043049,0.4621547758579254,0.030054641887545586,0.3174589276313782,1
cow,sheds,cowsheds,1,10.0,-0.310351733,-0.312624323,0.31540197134017944,0.3505343794822693,0.4297921657562256,1
work,sheet,worksheet,1,10.5,-0.17075538899999998,-0.19607315600000003,0.10967104882001877,0.4167026877403259,0.40731650590896606,1
main,sheet,mainsheet,1,12.4,0.097973356,0.118726289,0.060742441564798355,0.11800548434257507,0.12490691989660263,1
ground,sheet,groundsheet,1,11.0,-0.135056851,0.061003165,0.2365138679742813,0.2841513454914093,0.36195164918899536,1
news,sheet,newssheet,1,12.2,0.25994375,0.494769279,0.2657267451286316,0.13957448303699493,0.27967578172683716,1
spread,sheet,spreadsheet,1,11.0,-0.135056851,0.061003165,0.06930704414844513,0.29312631487846375,0.24228067696094513,1
broad,sheet,broadsheet,1,11.0,-0.135056851,0.061003165,0.013387479819357395,0.17469502985477448,0.1306949257850647,1
broad,sheets,broadsheets,1,11.0,-0.135056851,0.061003165,0.029112081974744797,0.16764521598815918,0.13985873758792877,1
work,sheets,worksheets,1,10.5,-0.17075538899999998,-0.19607315600000003,0.1256830394268036,0.402142196893692,0.398596853017807,1
spread,sheets,spreadsheets,1,11.0,-0.135056851,0.061003165,0.1048220545053482,0.3229788541793823,0.28405362367630005,1
book,shelf,bookshelf,1,10.5,-0.17075538899999998,-0.19607315600000003,0.45335420966148376,0.4453352391719818,0.5944522023200989,1
