c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,sim_c1stim,sim_c2stim,sim_c1c2stim,label
green,backs,greenbacks,1,8.42,-0.37088580200000004,-0.39506003100000003,0.2665324807167053,0.12441550940275192,0.2601342499256134,0
diamond,backs,diamondbacks,1,7.33,-0.36436835100000003,-0.395126906,0.0962587296962738,0.05803896114230156,0.10874216258525848,0
razor,backs,razorbacks,1,9.63,-0.346074991,-0.378024861,0.044128574430942535,0.1569739580154419,0.13093118369579315,0
moss,backs,mossbacks,1,8.59,-0.356676664,-0.378338393,0.2073775827884674,0.14296381175518036,0.24104124307632446,0
hatch,backs,hatchbacks,1,8.2,-0.368110014,-0.390390487,0.3968498110771179,0.07721897959709167,0.3428618013858795,0
gas,bag,gasbag,1,8.59,-0.356676664,-0.378338393,0.08224164694547653,0.03234602510929108,0.07983212918043137,0
carpet,bag,carpetbag,1,8.43,-0.368585006,-0.37349421899999996,0.27385157346725464,0.41414791345596313,0.4331951141357422,0
flea,bag,fleabag,1,11.5,0.204263778,0.153605767,0.197361558675766,0.10872451215982437,0.20585666596889496,0
wind,bag,windbag,1,7.33,-0.36436835100000003,-0.395126906,0.09940311312675476,0.09967571496963501,0.13550421595573425,0
sea,bag,seabag,1,11.5,0.204263778,0.153605767,0.23920276761054993,0.3551322817802429,0.41073668003082275,0
carpet,bagger,carpetbagger,1,8.43,-0.368585006,-0.37349421899999996,0.126783549785614,0.19885997474193573,0.22444725036621094,0
wind,bags,windbags,1,7.33,-0.36436835100000003,-0.395126906,0.19973014295101166,0.12174364179372787,0.21685177087783813,0
white,bait,whitebait,1,10.2,-0.311252275,-0.34153833,0.09945207089185715,0.44126176834106445,0.39381229877471924,0
moth,ball,mothball,1,8.2,-0.368110014,-0.390390487,0.12610924243927002,0.02785336971282959,0.102723628282547,0
odd,ball,oddball,1,7.33,-0.36436835100000003,-0.395126906,0.5580939054489136,-0.010603434406220913,0.293071985244751,0
high,ball,highball,1,8.2,-0.368110014,-0.390390487,0.06418898701667786,0.1889895498752594,0.18483896553516388,0
screw,ball,screwball,1,6.89,-0.373488544,-0.39210701200000003,0.17608438432216644,0.24701298773288727,0.2718736529350281,0
black,ball,blackball,1,6.78,-0.376818783,-0.40037404600000004,0.14500409364700317,0.06495058536529541,0.1367824822664261,0
high,balls,highballs,1,8.2,-0.368110014,-0.390390487,0.0627780482172966,0.18306781351566315,0.1774638146162033,0
odd,balls,oddballs,1,7.33,-0.36436835100000003,-0.395126906,0.30400413274765015,0.09968438744544983,0.23483863472938538,0
hat,band,hatband,1,8.43,-0.368585006,-0.37349421899999996,0.49491849541664124,0.18963614106178284,0.47846153378486633,0
wave,band,waveband,1,10.2,-0.311252275,-0.34153833,0.13496507704257965,0.228176549077034,0.23751133680343628,0
flea,bane,fleabane,1,11.5,0.204263778,0.153605767,0.23759980499744415,0.14833512902259827,0.26561424136161804,0
hen,bane,henbane,1,8.42,-0.37088580200000004,-0.39506003100000003,0.20151665806770325,0.13067726790905,0.22095011174678802,0
dog,bane,dogbane,1,5.36,-0.37777936100000004,-0.401226698,0.0778067335486412,0.13107767701148987,0.14844468235969543,0
wolfs,bane,wolfsbane,1,8.59,-0.356676664,-0.378338393,0.294290691614151,0.1822293996810913,0.31177452206611633,0
bus,bar,busbar,1,8.59,-0.356676664,-0.378338393,0.10314422100782394,0.10553210973739624,0.1394556611776352,0
draw,bar,drawbar,1,6.89,-0.373488544,-0.39210701200000003,-0.04223281890153885,0.15913279354572296,0.08376217633485794,0
crow,bar,crowbar,1,6.89,-0.373488544,-0.39210701200000003,0.10992273688316345,0.22012735903263092,0.21662968397140503,0
tan,bark,tanbark,1,8.42,-0.37088580200000004,-0.39506003100000003,0.25897592306137085,0.3269217610359192,0.3686068058013916,0
crow,bars,crowbars,1,6.89,-0.373488544,-0.39210701200000003,0.03245582804083824,0.18818868696689606,0.14320680499076843,0
ding,bat,dingbat,1,5.36,-0.37777936100000004,-0.401226698,0.2514621913433075,0.09561456739902496,0.22171926498413086,0
brick,bat,brickbat,1,6.78,-0.376818783,-0.40037404600000004,0.19487862288951874,0.17289988696575165,0.23885132372379303,0
brick,bats,brickbats,1,6.78,-0.376818783,-0.40037404600000004,0.12948918342590332,0.06204863637685776,0.12236993759870529,0
sick,bay,sickbay,1,6.78,-0.376818783,-0.40037404600000004,0.2573210597038269,0.19731870293617249,0.30280640721321106,0
horn,beam,hornbeam,1,8.42,-0.37088580200000004,-0.39506003100000003,0.1819418966770172,0.11070516705513,0.18955914676189423,0
butter,bean,butterbean,1,9.63,-0.346074991,-0.378024861,0.29693806171417236,0.37549149990081787,0.42885416746139526,0
bug,bear,bugbear,1,5.36,-0.37777936100000004,-0.401226698,0.26131221652030945,0.0875367745757103,0.23402786254882812,0
pall,bearer,pallbearer,1,8.6,-0.36915888,-0.39431376100000004,0.1427713930606842,0.19014714658260345,0.2216435968875885,0
pall,bearers,pallbearers,1,8.6,-0.36915888,-0.39431376100000004,0.1624925285577774,0.3037972152233124,0.3211081624031067,0
bug,bears,bugbears,1,5.36,-0.37777936100000004,-0.401226698,0.19573664665222168,0.0758223757147789,0.18254490196704865,0
back,beat,backbeat,1,6.78,-0.376818783,-0.40037404600000004,0.1383933126926422,0.12219727784395218,0.16184507310390472,0
dead,beats,deadbeats,1,7.33,-0.36436835100000003,-0.395126906,0.12445612996816635,0.10328362882137299,0.15205265581607819,0
down,beats,downbeats,1,8.42,-0.37088580200000004,-0.39506003100000003,0.12601280212402344,0.2514146864414215,0.2517811059951782,0
river,bed,riverbed,1,9.63,-0.346074991,-0.378024861,0.6722353100776672,0.22412575781345367,0.5908940434455872,0
road,bed,roadbed,1,7.33,-0.36436835100000003,-0.395126906,0.3923572301864624,0.17452503740787506,0.37522414326667786,0
free,bee,freebee,1,10.2,-0.311252275,-0.34153833,0.233804851770401,0.03451648727059364,0.16360288858413696,0
bar,bell,barbell,2,9.63,-0.346074991,-0.378024861,0.21704144775867462,0.17922981083393097,0.26138433814048767,0
dumb,bell,dumbbell,1,9.0,-0.337701718,-0.37280566200000004,0.07499344646930695,0.17736026644706726,0.17281268537044525,0
blue,bell,bluebell,1,10.2,-0.311252275,-0.34153833,0.17104671895503998,0.11115008592605591,0.1840124875307083,0
