c1,c2,stim,nparses,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
cross,hatch,crosshatch,1,12,0.657359922,0.614352135,0
nut,hatches,nuthatches,1,14.2,8.036027096,7.83944487,0
stag,head,staghead,1,11.7,0.641415035,0.585360488,0
skin,head,skinhead,1,9.07,-0.368878123,-0.395849129,0
trail,head,trailhead,1,7.18,-0.377320261,-0.401336972,0
block,head,blockhead,1,7.68,-0.375969449,-0.401314414,0
fiddle,head,fiddlehead,1,9.36,-0.331962971,-0.36590303,0
well,head,wellhead,1,7.18,-0.377320261,-0.401336972,0
rail,head,railhead,1,7.18,-0.377320261,-0.401336972,0
addle,head,addlehead,1,9.36,-0.331962971,-0.36590303,0
bridge,head,bridgehead,1,9.36,-0.331962971,-0.36590303,0
logger,head,loggerhead,1,8.83,-0.354324661,-0.393256935,0
black,head,blackhead,1,7.68,-0.375969449,-0.401314414,0
flood,head,floodhead,1,7.55,-0.374092437,-0.398919179,0
beach,head,beachhead,1,6.21,-0.372543858,-0.401160968,0
mast,head,masthead,1,14.2,8.036027096,7.83944487,0
hot,head,hothead,1,14.2,8.036027096,7.83944487,0
egg,head,egghead,1,11.7,0.641415035,0.585360488,0
copper,head,copperhead,1,8.83,-0.354324661,-0.393256935,0
letter,head,letterhead,1,8.83,-0.354324661,-0.393256935,0
spread,head,spreadhead,1,7.55,-0.374092437,-0.398919179,0
pit,head,pithead,1,14.2,8.036027096,7.83944487,0
step,head,stephead,1,10.4,-0.268312321,-0.275385567,0
sap,head,saphead,1,10.4,-0.268312321,-0.275385567,0
stair,head,stairhead,1,8.83,-0.354324661,-0.393256935,0
bone,head,bonehead,1,9.36,-0.331962971,-0.36590303,0
bow,head,bowhead,1,12,1.513752247,0.756226806,0
fountain,head,fountainhead,1,9.07,-0.368878123,-0.395849129,0
war,head,warhead,1,8.83,-0.354324661,-0.393256935,0
knuckle,head,knucklehead,1,9.36,-0.331962971,-0.36590303,0
bulk,head,bulkhead,1,7.68,-0.375969449,-0.401314414,0
mutton,head,muttonhead,1,9.07,-0.368878123,-0.395849129,0
thunder,head,thunderhead,1,8.83,-0.354324661,-0.393256935,0
pin,head,pinhead,1,9.07,-0.368878123,-0.395849129,0
tow,head,towhead,1,12,1.513752247,0.756226806,0
bulk,heads,bulkheads,1,7.68,-0.375969449,-0.401314414,0
logger,heads,loggerheads,1,8.83,-0.354324661,-0.393256935,0
beach,heads,beachheads,1,6.21,-0.372543858,-0.401160968,0
war,heads,warheads,1,8.83,-0.354324661,-0.393256935,0
knuckle,heads,knuckleheads,1,9.36,-0.331962971,-0.36590303,0
bridge,heads,bridgeheads,1,9.36,-0.331962971,-0.36590303,0
well,heads,wellheads,1,7.18,-0.377320261,-0.401336972,0
letter,heads,letterheads,1,8.83,-0.354324661,-0.393256935,0
white,heads,whiteheads,1,9.36,-0.331962971,-0.36590303,0
thunder,heads,thunderheads,1,8.83,-0.354324661,-0.393256935,0
copper,heads,copperheads,1,8.83,-0.354324661,-0.393256935,0
bone,heads,boneheads,1,9.36,-0.331962971,-0.36590303,0
swell,heads,swellheads,1,7.18,-0.377320261,-0.401336972,0
mast,heads,mastheads,1,14.2,8.036027096,7.83944487,0
tow,heads,towheads,1,12,1.513752247,0.756226806,0
pit,heads,pitheads,1,14.2,8.036027096,7.83944487,0
maiden,heads,maidenheads,1,9.07,-0.368878123,-0.395849129,0
slag,heap,slagheap,1,11.7,0.641415035,0.585360488,0
pea,hen,peahen,1,9.03,-0.044057982,-0.3551732,0
grey,hen,greyhen,1,6.24,-0.376221953,-0.400781821,0
swamp,hen,swamphen,1,10.4,-0.268312321,-0.275385567,0
moor,hen,moorhen,1,8.83,-0.354324661,-0.393256935,0
moor,hens,moorhens,1,8.83,-0.354324661,-0.393256935,0
pea,hens,peahens,1,9.03,-0.044057982,-0.3551732,0
cow,herb,cowherb,1,12,1.513752247,0.756226806,0
swine,herd,swineherd,1,9.36,-0.331962971,-0.36590303,0
wood,hewer,woodhewer,1,7.55,-0.374092437,-0.398919179,0
foot,hill,foothill,1,14.2,8.036027096,7.83944487,0
muck,hill,muckhill,1,7.68,-0.375969449,-0.401314414,0
dung,hills,dunghills,1,11.7,0.641415035,0.585360488,0
rose,hip,rosehip,1,9.36,-0.331962971,-0.36590303,0
holly,hock,hollyhock,1,6.24,-0.376221953,-0.400781821,0
holly,hocks,hollyhocks,1,6.24,-0.376221953,-0.400781821,0
back,hoe,backhoe,1,7.68,-0.375969449,-0.401314414,0
horses,hoer,horseshoer,1,12,0.657359922,0.614352135,0
back,hoes,backhoes,1,7.68,-0.375969449,-0.401314414,0
hedge,hog,hedgehog,1,9.36,-0.331962971,-0.36590303,0
wart,hog,warthog,1,14.2,8.036027096,7.83944487,0
hedge,hogs,hedgehogs,1,9.36,-0.331962971,-0.36590303,0
copy,hold,copyhold,1,6.24,-0.376221953,-0.400781821,0
stoke,hold,stokehold,1,9.36,-0.331962971,-0.36590303,0
toe,hold,toehold,1,9.36,-0.331962971,-0.36590303,0
house,hold,household,1,9.36,-0.331962971,-0.36590303,0
throttle,hold,throttlehold,1,9.36,-0.331962971,-0.36590303,0
slave,holding,slaveholding,1,9.36,-0.331962971,-0.36590303,0
lease,holds,leaseholds,1,9.36,-0.331962971,-0.36590303,0
house,holds,households,1,9.36,-0.331962971,-0.36590303,0
post,hole,posthole,1,14.2,8.036027096,7.83944487,0
stoke,hole,stokehole,1,9.36,-0.331962971,-0.36590303,0
pigeon,hole,pigeonhole,1,9.07,-0.368878123,-0.395849129,0
